OH Prep - Fry,,,,,,,
,,,,,,,
,,Tue,Wed,Thu,Fri,Sat,Sun
Item:, Par,Prep,Prep,Prep,Prep,Prep,Prep
Frozen:,,,,,,,
Chicken Tenders,3 bags,,,,,,
Fries,1 cambro,,,,,,
Sweet Potato Fries,2 bags,,,,,,
Cheese Curds,3 bags,,,,,,
Onion Rings,3 bags,,,,,,
Portabella Fries,2 bags,,,,,,
Dino Nugs,2 bags,,,,,,
Mini Corn Dogs,2 bags,,,,,,
Cooler:,,,,,,,
Croquettes,40ea.,,,,,,
Carrots,2 qt,,,,,,
Wings,12 orders,,,,,,
Celery,2 qt,,,,,,
"Parm, grated",2 qts,,,,,,
Arugula,1 qt,,,,,,
Hot:,,,,,,,
Queso,2 qts,,,,,,
Marinara,2 qts,,,,,,
Sauces:,,,,,,,
Buffalo,2 bottles,,,,,,
BBQ,2 bottles,,,,,,
Truffle Oil,2 bottles,,,,,,
Huli Huli,2 qts,,,,,,
Hot Honey,2 qts,,,,,,
Pine-Teriyaki,2 qts,,,,,,
