LUNCH PREP- Salad,,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Item, Par,Prep,Prep,Prep,Prep,Prep,Prep,Prep
Greens,,,,,,,,
Mixed Greens,2 1/3 pan,,,,,,,
Cabbage,1/3 pan,,,,,,,
Romaine,1/3 pan,,,,,,,
,,,,,,,,
Shrimp Cocktail,,,,,,,,
Shrimp Cocktail,4 orders,,,,,,,
Cocktail Sauce,1/3 pan,,,,,,,
Lemon,1/3 pan,,,,,,,
,,,,,,,,
Refrigeration,,,,,,,,
Cottage Cheese,1 tub,,,,,,,
Fruit,2qts,,,,,,,
,,,,,,,,
Dressings,,,,,,,,
Ranch,12qts,,,,,,,
Italian,8qts,,,,,,,
Honey Mustard,6qts,,,,,,,
White Balsamic,6qts,,,,,,,
O.H.,6qts,,,,,,,
,,,,,,,,
Dry,,,,,,,,
Cookies,12,,,,,,,
,,,,,,,,
Southwest Salad,,,,,,,,
Pickled Red Onion,2qts,,,,,,,
Avocado,2qts,,,,,,,
Corn Bean Salsa,2qts,,,,,,,
Cheddar Jack Cheese,2qts,,,,,,,
Spicy Pepitas,4qts,,,,,,,
Tortilla Strip,6qts,,,,,,,
Spicy Lime,8qts,,,,,,,
,,,,,,,,
Caesar,,,,,,,,
Caesar,8qts,,,,,,,
Croutons,4qts,,,,,,,
Crispy Parmesan,2qts,,,,,,,
Shaved Parm,2qts,,,,,,,
,,,,,,,,
Asian Chopped Salad,,,,,,,,
Cucumber,2qts,,,,,,,
Garden Pepper,2qts,,,,,,,
Edamame,2qts,,,,,,,
Pickled Red Onion,2qts,,,,,,,
Madarin Oranges,2qts,,,,,,,
Avocado,2qts,,,,,,,
Cilantro Lime,8qts,,,,,,,
Wonton Strip,4qts,,,,,,,
Crushed Peanut,4qts,,,,,,,
,,,,,,,,
Greek Salad,,,,,,,,
Red Onion,2qts,,,,,,,
Pepperoncini,2qts,,,,,,,
Olives,2qts,,,,,,,
Feta,1qt ,,,,,,,
Greek Dressing,4qts,,,,,,,
,,,,,,,,
House Garden,,,,,,,,
Cucumber,2qts,,,,,,,
Red Onion,2qts,,,,,,,
Carrot ,2qts,,,,,,,
Tomato,2qts,,,,,,,
Pepperoncini,2qts,,,,,,,
